Volcano Name,Country,Latitude,Longitude,Elevation (m),Type,Status,Last Known Eruption,year,mo,dy,tsu,eq,vei,deaths,damage_mil,houses_destroyed,total_deaths,total_damage_mil
Kita-Bayonnaise,Japan,32.1,139.85,-360,Submarine volcano,Holocene,Unknown,1953,3,25,5566,,2,,,,,
Asosan,Japan,32.884,131.104,1592,Caldera,Historical,D1,1953,4,27,,,2,6,,,6,
St. Andrew Strait,Papua New Guinea,-2.38,147.35,270,Complex volcano,Historical,D2,1953,6,27,1838,,0,,,,,
Sirung,Indonesia,-8.508,124.13,862,Complex volcano,Historical,D1,1953,6,,,,0,5,,,5,
Hakoneyama,Japan,35.233,139.021,1438,Complex volcano,Radiocarbon,D7,1953,7,26,,,,10,,,10,
Izu-Oshima,Japan,34.724,139.394,746,Stratovolcano,Historical,D1,1953,10,5,,,1,1,,,1,
Ruapehu,New Zealand,-39.28,175.57,2797,Stratovolcano,Historical,D1,1953,12,24,,,,151,,,151,
Stromboli,Italy,38.789,15.213,924,Stratovolcano,Historical,D1,1954,2,,3395,,,,,,,
Midagahara,Japan,36.571,137.59,2621,Stratovolcano,Historical,D3,1954,7,21,,,,1,,,1,
Bam,Papua New Guinea,-3.613,144.818,685,Stratovolcano,Historical,D2,1954,8,3,,,2,,,,25,
Camiguin,Philippines,9.203,124.673,1552,Stratovolcano,Historical,D2,1954,,,,,,2,,,2,
Carran-Los Venados,Chile,-40.35,-72.07,1114,Pyroclastic cone,Historical,D1,1955,7,26,,,4,2,,,2,
Aira,Japan,31.593,130.657,1117,Stratovolcano,Historical,D1,1955,10,13,,,3,,,,,
Bezymianny,Russia,55.972,160.595,2882,Stratovolcano,Historical,D1,1956,3,30,1856,,5,,,,,
Vsevidof,United States,53.13,-168.693,2149,Stratovolcano,Historical,D3,1957,3,11,,4116,2,,,,,
Unzendake,Japan,32.761,130.299,1483,Complex volcano,Historical,D1,1957,7,,,,,13,,,13,
Izu-Oshima,Japan,34.724,139.394,746,Stratovolcano,Historical,D1,1957,10,13,,,2,1,,,1,
Asosan,Japan,32.884,131.104,1592,Caldera,Historical,D1,1957,10,,,,2,12,,,12,
Mahawu,Indonesia,1.352,124.865,1299,Stratovolcano,Historical,D1,1958,7,12,,,2,1,,,1,
Taisetsuzan,Japan,43.664,142.854,2291,Stratovolcano,Tephrochronology,D6,1958,7,21,,,,2,,,2,
Kuwae,Vanuatu,-16.829,168.536,-2,Caldera,Historical,D1,1958,10,7,1882,,2,,,,,
Puyehue-Cordon Caulle,Chile,-40.59,-72.117,2236,Stratovolcano,Holocene,U,1960,5,25,1902,4227,3,,,,,
Calbuco,Chile,-41.33,-72.618,1974,Stratovolcano,Historical,D2,1961,1,25,,,3,,,,,
Midagahara,Japan,36.571,137.59,2621,Stratovolcano,Historical,D3,1961,4,23,,,,1,,,1,
Merapi,Indonesia,-7.54,110.446,2910,Stratovolcano,Historical,D1,1961,5,8,,,3,6,,,6,
Taisetsuzan,Japan,43.664,142.854,2291,Stratovolcano,Tephrochronology,D6,1961,6,18,,,,2,,,2,
Asamayama,Japan,36.406,138.523,2568,Complex volcano,Historical,D1,1961,8,18,,,2,1,,,1,
Tokachidake,Japan,43.418,142.686,2077,Stratovolcano,Historical,D1,1962,6,29,,,3,5,,,5,
Merapi,Indonesia,-7.54,110.446,2910,Stratovolcano,Historical,D1,1962,10,,,,,2,,,2,
Gamalama,Indonesia,0.8,127.33,1715,Stratovolcano,Historical,D1,1962,12,31,,,2,5,,,5,
Irazu,Costa Rica,9.979,-83.852,3436,Stratovolcano,Historical,D1,1963,3,17,,,3,15,,,15,
Agung,Indonesia,-8.343,115.508,2997,Stratovolcano,Historical,D1,1963,3,18,1942,,5,1028,,,1028,
Semeru,Indonesia,-8.108,112.922,3657,Stratovolcano,Historical,D1,1963,5,5,,,2,1,,,1,
Agung,Indonesia,-8.343,115.508,2997,Stratovolcano,Historical,D1,1963,5,16,,4292,3,120,,,120,
Villarrica,Chile,-39.42,-71.93,2847,Stratovolcano,Historical,D1,1963,5,21,,,2,,,,,
Batur,Indonesia,-8.242,115.375,1717,Caldera,Historical,D1,1963,9,5,,,2,2,,,2,
Fuego,Guatemala,14.473,-90.88,3763,Stratovolcano,Historical,D1,1963,9,28,,,3,7,,,7,
Irazu,Costa Rica,9.979,-83.852,3436,Stratovolcano,Historical,D1,1963,12,10,,,3,40,,400,40,
Paluweh,Indonesia,-8.32,121.708,875,Stratovolcano,Historical,D1,1964,1,1,,,2,1,,,1,
Villarrica,Chile,-39.42,-71.93,2847,Stratovolcano,Historical,D1,1964,3,3,,,2,25,,,25,
Dieng Volcanic Complex,Indonesia,-7.2,109.879,2565,Complex volcano,Historical,D1,1964,12,13,,,1,114,,,114,
Taal,Philippines,14.002,120.993,311,Stratovolcano,Historical,D1,1965,9,28,1977,,4,355,,,355,
Kick 'em Jenny,Netherlands,12.3,-61.64,-185,Submarine volcano,Historical,D1,1965,10,24,5695,,0,,,,,
Tinakula,Solomon Is.,-10.386,165.804,796,Stratovolcano,Historical,D1,1966,1,13,5478,,3,,,,,
Kelud,Indonesia,-7.935,112.314,1730,Stratovolcano,Historical,D1,1966,4,26,,,4,215,,,215,
Awu,Indonesia,3.689,125.447,1318,Stratovolcano,Historical,D1,1966,8,12,,,4,39,,,39,
"Lengai, Ol Doinyo",Tanzania,-2.764,35.914,2962,Stratovolcano,Historical,D1,1966,8,14,,,4,,,,,
Rincon de la Vieja,Costa Rica,10.83,-85.324,1916,Complex volcano,Historical,D1,1966,11,6,,,3,,,,,
"Lengai, Ol Doinyo",Tanzania,-2.764,35.914,2962,Stratovolcano,Historical,D1,1967,7,8,,,3,,,,,
Semeru,Indonesia,-8.108,112.922,3657,Stratovolcano,Historical,D1,1967,8,31,,,3,3,,,3,
Midagahara,Japan,36.571,137.59,2621,Stratovolcano,Historical,D3,1967,11,4,,,,2,,,2,
Deception Island,Antarctica,-63.001,-60.652,602,Caldera,Historical,D1,1967,12,4,1992,,3,,,,,
Mayon,Philippines,13.257,123.685,2462,Stratovolcano,Historical,D1,1968,4,21,,,3,6,,,6,
Arenal,Costa Rica,10.463,-84.703,1670,Stratovolcano,Historical,D1,1968,7,29,,,3,80,,,80,
Merapi,Indonesia,-7.54,110.446,2910,Stratovolcano,Historical,D1,1969,1,7,,,2,3,,,3,
Iya,Indonesia,-8.891,121.641,618,Stratovolcano,Historical,D1,1969,1,28,,,3,2,,287,2,
Didicas,Philippines,19.077,122.202,228,Compound volcano,Historical,D1,1969,3,21,2872,,2,,,,3,
Naruko,Japan,38.729,140.734,470,Caldera,Historical,D6,1969,8,26,,,,1,,,1,
Campi Flegrei,Italy,40.827,14.139,458,Caldera,Historical,D5,1970,3,2,,,,3,,,3,
Hekla,Iceland,63.983,-19.666,1490,Stratovolcano,Historical,D1,1970,5,5,,,3,,,,,
"Hudson, Cerro",Chile,-45.9,-72.97,1905,Stratovolcano,Historical,D1,1971,8,12,,,3,5,,,3,
Tinakula,Solomon Is.,-10.386,165.804,796,Stratovolcano,Historical,D1,1971,9,6,2043,,2,,,,,
Fuego,Guatemala,14.473,-90.88,3763,Stratovolcano,Historical,D1,1971,9,14,,,3,10,,,10,
La Palma,Spain,28.57,-17.83,2426,Stratovolcano,Historical,D1,1971,10,28,,,2,,,,,
Villarrica,Chile,-39.42,-71.93,2847,Stratovolcano,Historical,D1,1971,10,29,,,2,15,,,15,
Kusatsu-Shiranesan,Japan,36.618,138.528,2165,Stratovolcano,Historical,D1,1971,12,27,,,,6,,,6,
"Fournaise, Piton de la",Reunion,-21.244,55.708,2632,Shield volcano,Historical,D1,1972,6,9,,,2,3,,,3,
Hakoneyama,Japan,35.233,139.021,1438,Complex volcano,Radiocarbon,D7,1972,10,2,,,,2,,,2,
Ritter Island,Papua New Guinea,-5.519,148.115,75,Stratovolcano,Historical,D1,1972,10,9,2054,,1,,,,,
Vestmannaeyjar,Iceland,63.416,-20.266,283,Submarine volcano,Historical,D1,1973,1,27,,,3,1,,300,1,
Paluweh,Indonesia,-8.32,121.708,875,Stratovolcano,Historical,D1,1973,1,,,,3,,,,,
"Hudson, Cerro",Chile,-45.9,-72.97,1905,Stratovolcano,Historical,D1,1973,4,5,,,,2,,,2,
Iliwerung,Indonesia,-8.532,123.573,583,Complex volcano,Historical,D1,1973,12,,5761,,2,,,,2,
Karangetang,Indonesia,2.781,125.407,1797,Stratovolcano,Historical,D1,1974,2,11,,,3,4,,,4,
Aira,Japan,31.593,130.657,1117,Stratovolcano,Historical,D1,1974,6,17,,,3,3,,,3,
Niigata-Yakeyama,Japan,36.921,138.036,2400,Lava dome,Historical,D1,1974,7,28,,,2,3,,,3,
Aira,Japan,31.593,130.657,1117,Stratovolcano,Historical,D1,1974,8,9,,,3,5,,,5,
Fuego,Guatemala,14.473,-90.88,3763,Stratovolcano,Historical,D1,1974,10,10,,,4,,,,,
Ritter Island,Papua New Guinea,-5.519,148.115,75,Stratovolcano,Historical,D1,1974,10,17,2069,,1,,,,,
Merapi,Indonesia,-7.54,110.446,2910,Stratovolcano,Historical,D1,1974,10,22,,,2,9,,6,9,
Marapi,Indonesia,-0.38,100.474,2885,Complex volcano,Historical,D1,1975,1,,,,2,80,,,80,
Arenal,Costa Rica,10.463,-84.703,1670,Stratovolcano,Historical,D1,1975,6,17,,,3,2,,,2,
Kilauea,United States,19.421,-155.287,1222,Shield volcano,Historical,D1,1975,11,29,2080,4704,0,,,,2,4
Kusatsu-Shiranesan,Japan,36.618,138.528,2165,Stratovolcano,Historical,D1,1976,8,3,,,,3,,,3,
Sangay,Ecuador,-2.005,-78.341,5286,Stratovolcano,Historical,D1,1976,8,12,,,3,2,,,2,
Semeru,Indonesia,-8.108,112.922,3657,Stratovolcano,Historical,D1,1976,8,31,,,2,119,,,119,
Karangetang,Indonesia,2.781,125.407,1797,Stratovolcano,Historical,D1,1976,9,15,,,2,1,,24,1,
Merapi,Indonesia,-7.54,110.446,2910,Stratovolcano,Historical,D1,1976,11,25,,,2,29,,,29,
Nyiragongo,"Congo, DRC",-1.52,29.25,3470,Stratovolcano,Historical,D1,1977,1,10,,,1,,,,,
Karthala,Comoros,-11.75,43.38,2361,Shield volcano,Historical,D1,1977,4,5,,,1,,,293,,
Krafla,Iceland,65.715,-16.728,800,Caldera,Historical,D1,1977,4,27,,,1,,,,,
Klyuchevskoy,Russia,56.056,160.642,4754,Stratovolcano,Historical,D1,1977,8,2,,,3,1,,,1,
Toya,Japan,42.544,140.839,733,Stratovolcano,Historical,D1,1977,8,7,,,3,3,,,3,
Bulusan,Philippines,12.769,124.056,1535,Stratovolcano,Historical,D1,1978,7,29,,,2,,,,,
Santa Maria,Guatemala,14.757,-91.552,3745,Stratovolcano,Historical,D1,1978,9,2,,,3,1,,,1,
Semeru,Indonesia,-8.108,112.922,3657,Stratovolcano,Historical,D1,1978,9,19,,,3,12,,,12,
Toya,Japan,42.544,140.839,733,Stratovolcano,Historical,D1,1978,10,24,,,3,3,,,3,
Tangkuban Parahu,Indonesia,-6.77,107.6,2084,Stratovolcano,Historical,D1,1978,,,,,,3,,,3,
Dieng Volcanic Complex,Indonesia,-7.2,109.879,2565,Complex volcano,Historical,D1,1979,2,20,,,1,149,,,149,
Karkar,Papua New Guinea,-4.647,145.976,1839,Stratovolcano,Historical,D1,1979,3,8,,,2,2,,,2,
Soufriere St. Vincent,St. Vincent & the Grenadines,13.33,-61.18,1220,Stratovolcano,Historical,D1,1979,4,13,,,3,2,,,2,
Etna,Italy,37.748,14.999,3357,Stratovolcano,Historical,D1,1979,7,5,,,2,9,,,9,
Iliwerung,Indonesia,-8.532,123.573,583,Complex volcano,Historical,D1,1979,7,18,2115,,,,,,1239,
Asosan,Japan,32.884,131.104,1592,Caldera,Historical,D1,1979,9,6,,,2,3,,,3,
St. Helens,United States,46.2,-122.18,2549,Stratovolcano,Historical,D1,1980,5,18,3018,4876,5,57,2000,,61,2000
Hekla,Iceland,63.983,-19.666,1490,Stratovolcano,Historical,D1,1980,8,17,,,3,,,,,
Hood,United States,45.374,-121.695,3426,Stratovolcano,Historical,D3,1980,12,25,,,,1,,,1,
Etna,Italy,37.748,14.999,3357,Stratovolcano,Historical,D1,1981,3,17,,,2,,10,,,
Semeru,Indonesia,-8.108,112.922,3657,Stratovolcano,Historical,D1,1981,3,29,,,3,1,,,1,
Alaid,Russia,50.861,155.565,2285,Stratovolcano,Historical,D1,1981,4,27,,,2,,,,,
Semeru,Indonesia,-8.108,112.922,3657,Stratovolcano,Historical,D1,1981,5,14,,,3,372,,,372,
Mayon,Philippines,13.257,123.685,2462,Stratovolcano,Historical,D1,1981,6,30,,,,200,,,200,
Paluweh,Indonesia,-8.32,121.708,875,Stratovolcano,Historical,D1,1981,9,5,,,2,,,,,
Krakatau,Indonesia,-6.102,105.423,155,Caldera,Historical,D1,1981,10,20,5759,,1,,,,,
Vilyuchinsky,Russia,52.7,158.28,2173,Stratovolcano,Tephrochronology,D7,1981,,,,,,,,,,
"Chichon, El",Mexico,17.36,-93.228,1150,Tuff cone,Historical,D1,1982,3,29,,7221,5,1879,3.3,,1879,3.3
"Chichon, El",Mexico,17.36,-93.228,1150,Tuff cone,Historical,D1,1982,4,4,,,5,33,,,33,
Galunggung,Indonesia,-7.25,108.058,2168,Stratovolcano,Historical,D1,1982,5,17,,,4,68,15,,68,15
"Chichon, El",Mexico,17.36,-93.228,1150,Tuff cone,Historical,D1,1982,5,27,,,5,1,,,1,
Klyuchevskoy,Russia,56.056,160.642,4754,Stratovolcano,Historical,D1,1983,3,8,,,2,1,,,1,
Colo,Indonesia,-0.162,121.601,404,Stratovolcano,Historical,D1,1983,7,23,,,4,,,,,
Iliwerung,Indonesia,-8.532,123.573,583,Complex volcano,Historical,D1,1983,8,17,4702,,1,,,,,
Miyakejima,Japan,34.094,139.526,775,Stratovolcano,Historical,D1,1983,10,3,,4990,3,,,400,,
Sumisujima,Japan,31.44,140.051,136,Submarine volcano,Historical,D2,1984,6,13,2154,6652,,,,,,
Oku Volcanic Field,Cameroon,6.25,10.5,3011,Maar,Radiocarbon,D5,1984,8,15,5807,,,37,,,37,
Mayon,Philippines,13.257,123.685,2462,Stratovolcano,Historical,D1,1984,9,9,,,3,1,,,1,
Ontakesan,Japan,35.893,137.48,3067,Complex volcano,Historical,D1,1984,9,14,,,,29,,,29,
Etna,Italy,37.748,14.999,3357,Stratovolcano,Historical,D1,1984,10,16,,,3,1,,,1,
Semeru,Indonesia,-8.108,112.922,3657,Stratovolcano,Historical,D1,1985,5,10,,,3,70,,,70,
"Ruiz, Nevado del",Colombia,4.892,-75.324,5279,Stratovolcano,Historical,D1,1985,11,13,,,3,23080,,,23080,
Etna,Italy,37.748,14.999,3357,Stratovolcano,Historical,D1,1985,12,19,,,1,1,,,1,
Akita-Yakeyama,Japan,39.964,140.757,1366,Complex volcano,Historical,D1,1986,5,8,,,,1,,,1,
Stromboli,Italy,38.789,15.213,924,Stratovolcano,Historical,D1,1986,7,24,,,2,1,,,1,
Oku Volcanic Field,Cameroon,6.25,10.5,3011,Maar,Radiocarbon,D5,1986,8,21,5808,,3,1700,,,1700,
Merapi,Indonesia,-7.54,110.446,2910,Stratovolcano,Historical,D1,1986,10,15,,,2,1,,,1,
Izu-Oshima,Japan,34.724,139.394,746,Stratovolcano,Historical,D1,1986,11,15,,,3,1,,,1,
Pacaya,Guatemala,14.382,-90.601,2569,Complex volcano,Historical,D1,1987,1,25,,,3,,,63,,
Etna,Italy,37.748,14.999,3357,Stratovolcano,Historical,D1,1987,4,17,,,2,2,,,2,
Sirung,Indonesia,-8.508,124.13,862,Complex volcano,Historical,D1,1987,12,1,,5150,,,,,125,5
Banda Api,Pacific Ocean,-4.523,129.881,596,Caldera,Historical,D1,1988,5,9,,,3,4,,,4,
Arenal,Costa Rica,10.463,-84.703,1670,Stratovolcano,Historical,D1,1988,7,6,,,3,1,,,1,
Semeru,Indonesia,-8.108,112.922,3657,Stratovolcano,Historical,D1,1988,7,30,,,3,1,,,1,
Lonquimay,Chile,-38.379,-71.586,2832,Stratovolcano,Historical,D1,1988,12,25,,,3,1,,,1,
Akita-Yakeyama,Japan,39.964,140.757,1366,Complex volcano,Historical,D1,1988,,,,,,3,,,3,
Asosan,Japan,32.884,131.104,1592,Caldera,Historical,D1,1989,2,12,,,,1,,,1,
Kirishimayama,Japan,31.934,130.862,1700,Shield volcano,Historical,D1,1989,8,26,,,,2,,,2,
Sheveluch,Russia,56.653,161.36,3283,Stratovolcano,Historical,D1,1990,2,2,,,3,,,,,
Kelud,Indonesia,-7.935,112.314,1730,Stratovolcano,Historical,D1,1990,2,10,,,4,32,,,32,
Asosan,Japan,32.884,131.104,1592,Caldera,Historical,D1,1990,3,26,,,2,1,,,1,
Asosan,Japan,32.884,131.104,1592,Caldera,Historical,D1,1990,4,18,,,2,1,,,1,
Coropuna,Peru,-15.52,-72.65,6377,Stratovolcano,Historical,D1,1990,5,29,,,3,,,,,
Rabaul,Papua New Guinea,-4.271,152.203,688,Pyroclastic shield,Historical,D1,1990,6,24,,,,6,,,6,
Santa Maria,Guatemala,14.757,-91.552,3745,Stratovolcano,Historical,D1,1990,7,19,,,3,4,,,4,
Asosan,Japan,32.884,131.104,1592,Caldera,Historical,D1,1990,10,19,,,2,1,,,1,
Nyiragongo,"Congo, DRC",-1.52,29.25,3470,Stratovolcano,Historical,D1,1990,11,21,,,,1,,,1,
Kelud,Indonesia,-7.935,112.314,1730,Stratovolcano,Historical,D1,1990,11,25,,,,4,,,4,
Unzendake,Japan,32.761,130.299,1483,Complex volcano,Historical,D1,1991,6,3,,,1,43,,,43,
Pinatubo,Philippines,15.13,120.35,1486,Stratovolcano,Historical,D1,1991,6,15,,5292,6,350,,,800,
Mutnovsky,Russia,52.449,158.196,2288,Complex volcano,Historical,D2,1991,6,,,,,1,,,1,
Karthala,Comoros,-11.75,43.38,2361,Shield volcano,Historical,D1,1991,7,3,,,2,,,,,
"Hudson, Cerro",Chile,-45.9,-72.97,1905,Stratovolcano,Historical,D1,1991,8,8,,,5,,,,,
Lokon-Empung,Indonesia,1.358,124.792,1580,Stratovolcano,Historical,D1,1991,10,24,,,1,1,,,1,
Etna,Italy,37.748,14.999,3357,Stratovolcano,Historical,D1,1991,12,14,,,2,,2.5,,,2.5
Karangetang,Indonesia,2.781,125.407,1797,Stratovolcano,Historical,D1,1992,1,21,,,2,2,,,2,
Dieng Volcanic Complex,Indonesia,-7.2,109.879,2565,Complex volcano,Historical,D1,1992,3,18,,,,1,,,1,
"Negro, Cerro",Nicaragua,12.506,-86.702,728,Cinder cone,Historical,D1,1992,4,10,,,3,11,3,,11,3
Karangetang,Indonesia,2.781,125.407,1797,Stratovolcano,Historical,D1,1992,5,11,,,1,6,,,6,
Marapi,Indonesia,-0.38,100.474,2885,Complex volcano,Historical,D1,1992,7,5,,,2,1,,,1,
Pinatubo,Philippines,15.13,120.35,1486,Stratovolcano,Historical,D1,1992,7,12,,,1,6,,,6,
Spurr,United States,61.299,-152.251,3374,Stratovolcano,Historical,D1,1992,9,17,,,4,1,2,,1,2
Semeru,Indonesia,-8.108,112.922,3657,Stratovolcano,Historical,D1,1992,,,,,3,3,,,3,
Galeras,Colombia,1.22,-77.37,4276,Complex volcano,Historical,D1,1993,1,14,,,2,9,,,9,
Wurlali,Indonesia,-7.125,128.675,868,Stratovolcano,Historical,D3,1993,1,21,,,,1,,,1,
Mayon,Philippines,13.257,123.685,2462,Stratovolcano,Historical,D1,1993,2,2,,,2,75,,,75,
Guagua Pichincha,Ecuador,-0.171,-78.598,4784,Stratovolcano,Historical,D1,1993,3,12,,,1,2,,,2,
Kilauea,United States,19.421,-155.287,1222,Shield volcano,Historical,D1,1993,4,19,,,,1,,,1,
Krakatau,Indonesia,-6.102,105.423,155,Caldera,Historical,D1,1993,6,13,,,1,1,,,1,
Unzendake,Japan,32.761,130.299,1483,Complex volcano,Historical,D1,1993,6,23,,,1,1,,,1,
Pinatubo,Philippines,15.13,120.35,1486,Stratovolcano,Historical,D1,1993,6,26,,,1,4,,,4,
Pinatubo,Philippines,15.13,120.35,1486,Stratovolcano,Historical,D1,1993,10,4,,,,14,,,14,
Yasur,Vanuatu,-19.532,169.447,361,Stratovolcano,Historical,D1,1994,1,15,,,3,1,,,1,
Semeru,Indonesia,-8.108,112.922,3657,Stratovolcano,Historical,D1,1994,2,3,,,3,6,,,6,
Asosan,Japan,32.884,131.104,1592,Caldera,Historical,D1,1994,5,29,,,1,1,,,1,
"Huila, Nevado del",Colombia,2.93,-76.03,5364,Stratovolcano,Historical,D5,1994,6,6,,5387,,,,,650,2.4
Kilauea,United States,19.421,-155.287,1222,Shield volcano,Historical,D1,1994,7,8,5926,,3,,,,,
Rabaul,Papua New Guinea,-4.271,152.203,688,Pyroclastic shield,Historical,D1,1994,9,18,5927,10747,,,,,,
Rabaul,Papua New Guinea,-4.271,152.203,688,Pyroclastic shield,Historical,D1,1994,9,19,2229,,3,4,86,,4,86
Rinjani,Indonesia,-8.42,116.47,3726,Stratovolcano,Historical,D1,1994,11,3,,,3,31,,,31,
Merapi,Indonesia,-7.54,110.446,2910,Stratovolcano,Historical,D1,1994,11,22,,,3,60,,,60,
Yasur,Vanuatu,-19.532,169.447,361,Stratovolcano,Historical,D1,1995,2,4,,,3,2,,,2,
Yakedake,Japan,36.227,137.587,2455,Stratovolcano,Historical,D1,1995,2,11,,,1,4,,,4,
Fogo,Cape Verde,14.95,-24.35,2829,Stratovolcano,Historical,D1,1995,4,2,,,2,,,10,,
Pacaya,Guatemala,14.382,-90.601,2569,Complex volcano,Historical,D1,1995,4,7,,,3,1,,1,1,
Kelimutu,Indonesia,-8.77,121.82,1639,Complex volcano,Historical,D1,1995,5,15,,,,1,,,1,
Melebingoy,Philippines,6.113,124.892,1824,Stratovolcano,Historical,D5,1995,9,6,,,,60,,300,60,
Karymsky,Russia,54.049,159.443,1513,Stratovolcano,Historical,D1,1996,1,2,2392,,2,,,,,
Popocatepetl,Mexico,19.023,-98.622,5393,Stratovolcano,Historical,D1,1996,4,30,,,3,5,,,5,
Kanlaon,Philippines,10.412,123.132,2435,Stratovolcano,Historical,D1,1996,8,10,,,2,3,,,3,
Sumisujima,Japan,31.44,140.051,136,Submarine volcano,Historical,D2,1996,9,4,2265,6499,,,,,,
Maderas,Nicaragua,11.446,-85.515,1394,Stratovolcano,Holocene,U,1996,9,27,,,,6,,,6,
Grimsvotn,Iceland,64.416,-17.316,1719,Caldera,Historical,D1,1996,9,30,,,3,,,,,
Manam,Papua New Guinea,-4.08,145.037,1807,Stratovolcano,Historical,D1,1996,12,3,,,3,13,,,13,
Merapi,Indonesia,-7.54,110.446,2910,Stratovolcano,Historical,D1,1997,1,14,,,2,6,,,6,
Karangetang,Indonesia,2.781,125.407,1797,Stratovolcano,Historical,D1,1997,4,17,,,1,3,,,3,
Soufriere Hills,Montserrat,16.72,-62.18,915,Stratovolcano,Historical,D1,1997,6,25,,,3,22,,,22,
Hakkodasan,Japan,40.659,140.877,1585,Stratovolcano,Holocene,U,1997,7,12,,,,3,,,3,
Soufriere Hills,Montserrat,16.72,-62.18,915,Stratovolcano,Historical,D1,1997,8,1,,,3,2,,,2,
Semeru,Indonesia,-8.108,112.922,3657,Stratovolcano,Historical,D1,1997,9,2,,,3,2,,,2,
Adatarayama,Japan,37.647,140.281,1728,Stratovolcano,Historical,D1,1997,9,15,,,,4,,,4,
Asosan,Japan,32.884,131.104,1592,Caldera,Historical,D1,1997,11,23,,,,2,,,2,
Soufriere Hills,Montserrat,16.72,-62.18,915,Stratovolcano,Historical,D1,1997,12,26,2279,,,,,,,
Kilauea,United States,19.421,-155.287,1222,Shield volcano,Historical,D1,1998,4,28,,,,1,,,,
Kelud,Indonesia,-7.935,112.314,1730,Stratovolcano,Historical,D1,1998,7,,,,,10,,,10,
San Cristobal,Nicaragua,12.702,-87.004,1745,Stratovolcano,Historical,D1,1998,10,30,,,,1620,,,1620,
Soufriere Hills,Montserrat,16.72,-62.18,915,Stratovolcano,Historical,D1,1999,1,20,2880,,3,,,,,
Fuego,Guatemala,14.473,-90.88,3763,Stratovolcano,Historical,D1,1999,5,21,,,2,,,,,
Sheveluch,Russia,56.653,161.36,3283,Stratovolcano,Historical,D1,1999,8,15,,,4,,,,,
Guagua Pichincha,Ecuador,-0.171,-78.598,4784,Stratovolcano,Historical,D1,1999,10,5,,,3,2,,,2,
Tungurahua,Ecuador,-1.467,-78.442,5023,Stratovolcano,Historical,D1,1999,10,16,,,3,1,,,1,
Miyakejima,Japan,34.094,139.526,775,Stratovolcano,Historical,D1,2000,6,27,2340,5568,2,,,,1,
Semeru,Indonesia,-8.108,112.922,3657,Stratovolcano,Historical,D1,2000,7,27,,,3,2,,,2,
Arenal,Costa Rica,10.463,-84.703,1670,Stratovolcano,Historical,D1,2000,8,23,,,3,2,,,2,
Kilauea,United States,19.421,-155.287,1222,Shield volcano,Historical,D1,2000,11,3,,,,2,,,2,
Merapi,Indonesia,-7.54,110.446,2910,Stratovolcano,Historical,D1,2000,11,,,,2,1,,,1,
Etna,Italy,37.748,14.999,3357,Stratovolcano,Historical,D1,2001,5,14,,,3,1,,,1,
Etna,Italy,37.748,14.999,3357,Stratovolcano,Historical,D1,2001,7,26,,,2,,,,,
Merapi,Indonesia,-7.54,110.446,2910,Stratovolcano,Historical,D1,2001,8,5,,,2,2,,,2,
Stromboli,Italy,38.789,15.213,924,Stratovolcano,Historical,D1,2001,10,20,,,2,1,,,1,
Karangetang,Indonesia,2.781,125.407,1797,Stratovolcano,Historical,D1,2002,1,3,,,3,,,,,
Nyiragongo,"Congo, DRC",-1.52,29.25,3470,Stratovolcano,Historical,D1,2002,1,17,,,1,100,,,100,
Etna,Italy,37.748,14.999,3357,Stratovolcano,Historical,D1,2002,8,28,,5659,3,,,,,
Reventador,Ecuador,-0.077,-77.656,3562,Stratovolcano,Historical,D1,2002,11,3,,,4,,,,,
Stromboli,Italy,38.789,15.213,924,Stratovolcano,Historical,D1,2002,12,30,2923,,,,,,,
Semeru,Indonesia,-8.108,112.922,3657,Stratovolcano,Historical,D1,2002,,,,,3,3,,,3,
Soufriere Hills,Montserrat,16.72,-62.18,915,Stratovolcano,Historical,D1,2003,7,12,2694,,3,,,,,
Egon,Indonesia,-8.676,122.455,1661,Stratovolcano,Historical,D2,2004,1,29,,,1,1,,,1,
Tengger Caldera,Indonesia,-7.942,112.95,2329,Stratovolcano,Historical,D1,2004,6,8,,,2,2,,,,
Manam,Papua New Guinea,-4.08,145.037,1807,Stratovolcano,Historical,D1,2004,10,24,,,4,5,,,5,
Manam,Papua New Guinea,-4.08,145.037,1807,Stratovolcano,Historical,D1,2005,1,27,,,4,1,,,1,
Santa Ana,El Salvador,13.853,-89.63,2381,Stratovolcano,Historical,D2,2005,10,1,,,3,2,,,2,
Karthala,Comoros,-11.75,43.38,2361,Shield volcano,Historical,D1,2005,11,24,,,,,,,,
Sumisujima,Japan,31.44,140.051,136,Submarine volcano,Historical,D2,2006,1,1,5795,10555,,,,,,
Raoul Island,New Zealand,-29.27,-177.92,516,Stratovolcano,Historical,D1,2006,3,17,,,,1,,,1,
Soufriere Hills,Montserrat,16.72,-62.18,915,Stratovolcano,Historical,D1,2006,5,20,2877,,2,,,,,
Bulusan,Philippines,12.769,124.056,1535,Stratovolcano,Historical,D1,2006,6,7,,,2,1,,,1,
Merapi,Indonesia,-7.54,110.446,2910,Stratovolcano,Historical,D1,2006,6,14,,,1,2,,,2,
Tungurahua,Ecuador,-1.467,-78.442,5023,Stratovolcano,Historical,D1,2006,7,18,,,3,1,,,1,
Tungurahua,Ecuador,-1.467,-78.442,5023,Stratovolcano,Historical,D1,2006,8,17,,,3,5,,,6,
